geo,TIME_PERIOD,OBS_VALUE
HR,2005,51.4
HR,2006,49.9
HR,2007,49.5
HR,2008,51.0
HR,2009,48.9
HR,2010,51.0
HR,2011,48.4
HR,2012,49.9
HR,2013,49.0
HR,2014,47.1
HR,2015,45.3
HR,2016,45.7
HR,2017,44.5
HR,2018,44.7
HR,2019,44.7
HR,2020,43.6
HR,2021,43.8
HU,2003,42.5
HU,2004,45.1
HU,2005,46.5
HU,2006,45.1
HU,2007,50.9
HU,2008,52.5
HU,2009,50.8
HU,2010,52.8
HU,2011,50.2
HU,2012,48.6
HU,2013,45.9
HU,2014,44.0
HU,2015,43.8
HU,2016,44.1
HU,2017,49.7
HU,2018,52.0
HU,2019,54.5
HU,2020,52.6
HU,2021,56.2
IE,2003,138.6
IE,2004,136.0
IE,2005,133.7
IE,2006,135.0
IE,2007,141.2
IE,2008,142.7
IE,2009,125.6
IE,2010,116.9
IE,2011,120.5
IE,2012,122.0
IE,2013,128.5
IE,2014,137.0
IE,2015,144.9
IE,2016,153.9
IE,2017,161.7
IE,2018,172.5
IE,2019,180.4
IE,2020,183.5
IE,2021,194.3
IS,2003,107.6
IS,2004,114.0
IS,2005,134.6
IS,2006,121.6
IS,2007,132.9
IS,2008,87.0
IS,2009,79.3
IS,2010,81.7
IS,2011,84.8
IS,2012,86.4
IS,2013,91.6
IS,2014,101.8
IS,2015,114.2
IS,2016,141.5
IS,2017,160.5
IS,2018,164.2
IS,2019,159.1
IS,2020,143.5
IS,2021,153.6
IT,2003,94.5
IT,2004,95.5
IT,2005,96.9
IT,2006,97.8
IT,2007,98.7
IT,2008,98.4
IT,2009,100.4
IT,2010,99.1
IT,2011,100.6
IT,2012,101.7
IT,2013,99.4
IT,2014,105.6
IT,2015,106.7
IT,2016,100.0
IT,2017,98.6
IT,2018,98.7
IT,2019,98.5
IT,2020,97.9
IT,2021,97.1
LT,2003,36.5
LT,2004,35.7
LT,2005,37.8
LT,2006,40.5
LT,2007,43.8
LT,2008,47.4
LT,2009,45.4
LT,2010,45.3
LT,2011,45.9
LT,2012,47.2
LT,2013,46.2
LT,2014,45.7
LT,2015,44.5
LT,2016,43.6
LT,2017,43.0
LT,2018,44.3
LT,2019,43.5
LT,2020,44.1
LT,2021,46.7
LU,2003,154.1
LU,2004,151.7
LU,2005,149.7
LU,2006,149.5
LU,2007,150.3
LU,2008,152.6
LU,2009,157.1
LU,2010,155.0
LU,2011,158.9
LU,2012,160.5
LU,2013,161.3
LU,2014,166.3
LU,2015,160.1
LU,2016,166.3
LU,2017,167.0
LU,2018,163.8
LU,2019,180.7
LU,2020,185.7
LU,2021,186.9
LV,2003,40.3
LV,2004,41.6
LV,2005,44.2
LV,2006,57.1
LV,2007,67.8
LV,2008,74.0
LV,2009,60.6
LV,2010,52.9
LV,2011,56.9
LV,2012,62.0
LV,2013,60.8
LV,2014,60.7
LV,2015,58.9
LV,2016,60.1
LV,2017,60.4
LV,2018,61.7
LV,2019,62.2
LV,2020,61.3
LV,2021,61.7
MT,2003,50.5
MT,2004,49.6
MT,2005,50.2
MT,2006,50.7
MT,2007,49.9
MT,2008,53.9
MT,2009,59.0
MT,2010,60.2
MT,2011,59.5
MT,2012,58.0
MT,2013,59.5
MT,2014,55.7
MT,2015,54.8
MT,2016,57.0
MT,2017,63.4
MT,2018,60.2
MT,2019,58.2
MT,2020,59.7
MT,2021,58.7
NL,2003,120.5
NL,2004,122.4
NL,2005,124.1
NL,2006,121.1
NL,2007,120.7
NL,2008,117.4
NL,2009,121.5
NL,2010,121.8
NL,2011,124.1
NL,2012,124.0
NL,2013,124.3
NL,2014,126.2
NL,2015,132.8
NL,2016,133.5
NL,2017,131.9
NL,2018,132.7
NL,2019,137.6
NL,2020,134.7
NL,2021,134.1
NO,2003,129.4
NO,2004,123.6
NO,2005,127.3
NO,2006,130.4
NO,2007,123.5
NO,2008,124.0
NO,2009,120.3
NO,2010,134.6
NO,2011,141.0
NO,2012,143.8
NO,2013,143.9
NO,2014,134.2
NO,2015,153.5
NO,2016,152.4
NO,2017,129.5
NO,2018,129.9
NO,2019,123.8
NO,2020,110.9
NO,2021,123.6
PL,2003,38.5
PL,2004,38.6
PL,2005,43.2
PL,2006,43.9
PL,2007,45.0
PL,2008,48.1
PL,2009,42.3
PL,2010,43.9
PL,2011,42.6
PL,2012,40.5
PL,2013,40.3
PL,2014,40.0
PL,2015,39.4
PL,2016,38.5
PL,2017,39.4
PL,2018,39.2
PL,2019,37.0
PL,2020,37.2
PL,2021,38.4
PT,2003,62.9
PT,2004,62.6
PT,2005,63.0
PT,2006,63.9
PT,2007,69.5
PT,2008,71.5
PT,2009,74.9
PT,2010,77.5
PT,2011,75.9
PT,2012,78.2
PT,2013,80.1
PT,2014,81.2
PT,2015,79.7
PT,2016,80.4
PT,2017,79.8
PT,2018,80.8
PT,2019,79.7
PT,2020,81.1
PT,2021,80.0
RO,2003,31.3
RO,2004,31.4
RO,2005,39.9
RO,2006,42.6
RO,2007,49.9
RO,2008,48.8
RO,2009,42.1
RO,2010,43.1
RO,2011,41.1
RO,2012,38.8
RO,2013,42.5
RO,2014,43.3
RO,2015,44.3
RO,2016,42.2
RO,2017,43.7
RO,2018,43.1
RO,2019,44.2
RO,2020,45.1
RO,2021,44.1
SE,2003,123.0
SE,2004,121.2
SE,2005,119.8
SE,2006,117.0
SE,2007,113.5
SE,2008,109.8
SE,2009,103.1
SE,2010,115.6
SE,2011,126.1
SE,2012,125.7
SE,2013,128.3
SE,2014,124.2
SE,2015,119.9
SE,2016,122.6
SE,2017,130.8
SE,2018,125.3
SE,2019,122.9
SE,2020,123.9
SE,2021,130.2
SI,2003,68.7
SI,2004,68.8
SI,2005,69.5
SI,2006,68.6
SI,2007,69.3
