geo,TIME_PERIOD,OBS_VALUE
LU,2021,107.31
LU,2022,109.18
LV,2010,77.38
LV,2011,81.71
LV,2012,89.53
LV,2013,94.58
LV,2014,99.26
LV,2015,100.00
LV,2016,98.62
LV,2017,98.27
LV,2018,102.37
LV,2019,107.12
LV,2020,104.81
LV,2021,106.46
LV,2022,109.59
MK,2010,94.81
MK,2011,99.06
MK,2012,99.58
MK,2013,100.09
MK,2014,100.09
MK,2015,100.00
MK,2016,99.63
MK,2017,99.63
MK,2018,100.41
MK,2019,100.41
MK,2020,100.48
MK,2021,100.80
MK,2022,102.41
MT,2010,93.40
MT,2011,95.84
MT,2012,96.96
MT,2013,97.27
MT,2014,97.54
MT,2015,100.00
MT,2016,104.41
MT,2017,104.90
MT,2018,106.67
MT,2019,111.07
MT,2020,115.56
MT,2021,113.96
MT,2022,120.06
NL,2010,85.81
NL,2011,87.28
NL,2012,89.30
NL,2013,92.65
NL,2014,96.81
NL,2015,100.00
NL,2016,102.09
NL,2017,103.93
NL,2018,105.96
NL,2019,108.55
NL,2020,111.51
NL,2021,113.57
NL,2022,115.68
NO,2010,88.2
NO,2011,90.2
NO,2012,91.9
NO,2013,94.7
NO,2014,97.3
NO,2015,100.0
NO,2016,101.9
NO,2017,104.1
NO,2018,105.9
NO,2019,107.8
NO,2020,109.4
NO,2021,110.8
NO,2022,113.2
PL,2010,91.0
PL,2011,93.7
PL,2012,96.0
PL,2013,97.5
PL,2014,98.7
PL,2015,100.0
PL,2016,101.3
PL,2017,104.4
PL,2018,108.3
PL,2019,113.6
PL,2020,119.7
PL,2021,124.3
PL,2022,142.0
PT,2010,90.86
PT,2011,91.71
PT,2012,93.55
PT,2013,94.72
PT,2014,98.91
PT,2015,100.00
PT,2016,101.71
PT,2017,102.72
PT,2018,104.66
PT,2019,107.97
PT,2020,110.76
PT,2021,112.76
PT,2022,115.79
RO,2010,93.61
RO,2011,94.23
RO,2012,96.47
RO,2013,97.00
RO,2014,99.00
RO,2015,100.00
RO,2016,100.87
RO,2017,102.42
RO,2018,104.94
RO,2019,107.70
RO,2020,110.13
RO,2021,112.93
RO,2022,118.48
RS,2010,85.0
RS,2011,84.4
RS,2012,93.5
RS,2013,93.7
RS,2014,97.2
RS,2015,100.0
RS,2016,101.7
RS,2017,100.2
RS,2018,101.3
RS,2019,105.6
RS,2020,107.5
RS,2021,110.4
RS,2022,130.9
SE,2010,90.28
SE,2011,92.38
SE,2012,94.75
SE,2013,96.86
SE,2014,98.56
SE,2015,100.00
SE,2016,100.88
SE,2017,101.73
SE,2018,102.82
SE,2019,104.69
SE,2020,106.61
SE,2021,108.16
SE,2022,110.08
SI,2010,102.07
SI,2011,101.67
SI,2012,99.93
SI,2013,98.84
SI,2014,98.04
SI,2015,100.00
SI,2016,101.63
SI,2017,107.02
SI,2018,113.70
SI,2019,118.50
SI,2020,115.80
SI,2021,120.03
SI,2022,142.79
SK,2010,98.34
SK,2011,99.10
SK,2012,99.72
SK,2013,99.97
SK,2014,100.00
SK,2015,100.00
SK,2016,100.24
SK,2017,100.54
SK,2018,100.85
SK,2019,101.42
SK,2020,102.96
SK,2021,103.86
SK,2022,108.15
TR,2010,74.84
TR,2011,78.08
TR,2012,81.92
TR,2013,86.90
TR,2014,92.95
TR,2015,100.00
TR,2016,108.67
TR,2017,118.59
TR,2018,130.05
TR,2019,143.19
TR,2020,156.58
TR,2021,172.63
TR,2022,221.23
UK,2010,87.5
UK,2011,89.7
UK,2012,92.7
UK,2013,95.0
UK,2014,97.2
UK,2015,100.0
UK,2016,101.8
UK,2017,102.7
UK,2018,103.2
UK,2019,103.9
